Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Species	Comments
1	Spectrogram 1	1	51.627400000	52.059053477	0.4317	4187.500	6000.000	D:\AI_SCMU\2021\Audio\Moss\SM4\3_20_21 to 4_14_21\Data\PWR04_20210321_220000.wav	51.6274	PWR04_20210321_220000.wav	M	
2	Spectrogram 1	1	84.658300000	85.444525977	0.7862	3812.500	5812.500	D:\AI_SCMU\2021\Audio\Moss\SM4\3_20_21 to 4_14_21\Data\PWR04_20210322_221000.wav	24.6583	PWR04_20210322_221000.wav	M	
3	Spectrogram 1	1	85.521700000	85.814607717	0.2929	3875.000	6000.000	D:\AI_SCMU\2021\Audio\Moss\SM4\3_20_21 to 4_14_21\Data\PWR04_20210322_221000.wav	25.5217	PWR04_20210322_221000.wav	M	
4	Spectrogram 1	1	86.169100000	86.462007716	0.2929	3812.500	5375.000	D:\AI_SCMU\2021\Audio\Moss\SM4\3_20_21 to 4_14_21\Data\PWR04_20210322_221000.wav	26.1691	PWR04_20210322_221000.wav	M	
5	Spectrogram 1	1	151.332000000	151.779069673	0.4471	3000.000	5375.000	D:\AI_SCMU\2021\Audio\Moss\SM4\3_20_21 to 4_14_21\Data\PWR04_20210323_220000.wav	31.3320	PWR04_20210323_220000.wav	M	
6	Spectrogram 1	1	181.228700000	182.061174563	0.8325	2625.000	4375.000	D:\AI_SCMU\2021\Audio\Moss\SM4\3_20_21 to 4_14_21\Data\PWR04_20210323_221000.wav	1.2287	PWR04_20210323_221000.wav	M	
7	Spectrogram 1	1	185.822700000	186.593509781	0.7708	1625.000	5750.000	D:\AI_SCMU\2021\Audio\Moss\SM4\3_20_21 to 4_14_21\Data\PWR04_20210323_221000.wav	5.8227	PWR04_20210323_221000.wav	M	
8	Spectrogram 1	1	186.732200000	187.163853478	0.4317	1937.500	5375.000	D:\AI_SCMU\2021\Audio\Moss\SM4\3_20_21 to 4_14_21\Data\PWR04_20210323_221000.wav	6.7322	PWR04_20210323_221000.wav	M	
9	Spectrogram 1	1	214.506200000	215.014934455	0.5087	3687.500	5562.500	D:\AI_SCMU\2021\Audio\Moss\SM4\3_20_21 to 4_14_21\Data\PWR04_20210323_221000.wav	34.5062	PWR04_20210323_221000.wav	M	
10	Spectrogram 1	1	270.843300000	271.722023151	0.8787	2812.500	6500.000	D:\AI_SCMU\2021\Audio\Moss\SM4\3_20_21 to 4_14_21\Data\PWR04_20210323_222000.wav	30.8433	PWR04_20210323_222000.wav	M	
11	Spectrogram 1	1	271.922400000	272.261556303	0.3392	3125.000	5250.000	D:\AI_SCMU\2021\Audio\Moss\SM4\3_20_21 to 4_14_21\Data\PWR04_20210323_222000.wav	31.9224	PWR04_20210323_222000.wav	M	
12	Spectrogram 1	1	353.486600000	353.764091521	0.2775	4562.500	6000.000	D:\AI_SCMU\2021\Audio\Moss\SM4\3_20_21 to 4_14_21\Data\PWR04_20210323_231000.wav	53.4866	PWR04_20210323_231000.wav	M	
13	Spectrogram 1	1	362.497500000	362.975402064	0.4779	4625.000	6250.000	D:\AI_SCMU\2021\Audio\Moss\SM4\3_20_21 to 4_14_21\Data\PWR04_20210326_222000.wav	2.4975	PWR04_20210326_222000.wav	M	
